matrixName;Edge Cut;cut size;cut cost;imbalance
HB/bcsstk32.mtx;0.054000 s;1482;6981.000000;0.000011
HB/bcspwr08.mtx;0.002000 s;10;10.000000;0.000000
HB/bcsstk12.mtx;0.003000 s;49;278.000000;0.000339
HB/zenios.mtx;0.003000 s;0;0.000000;0.011660
HB/can_1072.mtx;0.003000 s;190;200.000000;0.000000
HB/bcsstm25.mtx;0.002000 s;0;0.000000;0.500000
HB/saylr1.mtx;0.001000 s;15;15.000000;0.000000
HB/dwt_72.mtx;0.001000 s;3;3.000000;0.000000
HB/jagmesh5.mtx;0.002000 s;22;22.000000;0.000000
HB/dwt_361.mtx;0.001000 s;39;39.000000;0.001385
HB/bcsstm02.mtx;0.001000 s;0;0.000000;0.500000
HB/bcsstm10.mtx;0.002000 s;34;226.000000;0.000000
HB/bcsstk16.mtx;0.007000 s;259;2403.000000;0.000205
HB/bcsstk08.mtx;0.004000 s;866;866.000000;0.000000
HB/dwt_346.mtx;0.001000 s;60;60.000000;0.005780
HB/can_229.mtx;0.001000 s;52;52.000000;0.002183
HB/can_1054.mtx;0.003000 s;177;177.000000;0.000000
HB/lshp_577.mtx;0.002000 s;52;52.000000;0.000867
HB/cegb2919.mtx;0.006000 s;357;8919.000000;0.000514
HB/bcsstk18.mtx;0.017000 s;780;843.000000;0.000000
HB/bcsstk15.mtx;0.011000 s;1484;1484.000000;0.000760
HB/dwt_66.mtx;0.001000 s;4;4.000000;0.000000
HB/lap_25.mtx;0.001000 s;14;14.000000;0.020000
HB/lshp2614.mtx;0.003000 s;105;105.000000;0.000000
HB/steam1.mtx;0.001000 s;21;180.000000;0.000000
HB/can_62.mtx;0.001000 s;4;4.000000;0.000000
HB/can_445.mtx;0.002000 s;111;111.000000;0.001124
HB/dwt_758.mtx;0.002000 s;30;30.000000;0.000000
HB/bcsstk21.mtx;0.004000 s;0;0.000000;0.000000
HB/young1c.mtx;0.002000 s;34;34.000000;0.000595
HB/gr_30_30.mtx;0.002000 s;88;88.000000;0.000000
HB/bcspwr03.mtx;0.001000 s;10;10.000000;0.000000
HB/bcsstm11.mtx;0.001000 s;0;0.000000;0.500000
Lee/fem_hifreq_circuit.mtx;0.939000 s;9523;38826.000000;0.000000
Lee/fem_filter.mtx;0.189000 s;5664;5664.000000;0.000000
Simon/appu.mtx;0.347000 s;383190;383190.000000;0.000000
UTEP/Dubcova2.mtx;0.115000 s;2192;2192.000000;0.000008
UTEP/Dubcova1.mtx;0.025000 s;1040;1040.000000;0.000031
UTEP/Dubcova3.mtx;0.157000 s;2234;6441.000000;0.000003
Barabasi/NotreDame_yeast.mtx;0.003000 s;101;101.000000;0.000000
CEMW/tmt_unsym.mtx;1.006000 s;1720;1720.000000;0.000001
CEMW/tmt_sym.mtx;0.974000 s;2456;2456.000000;0.000001
CEMW/vfem.mtx;0.189000 s;6963;6963.000000;0.000000
Watson/Baumann.mtx;0.152000 s;1288;1288.000000;0.000004
Williams/consph.mtx;0.137000 s;7147;61067.000000;0.000012
Williams/cop20k_A.mtx;0.186000 s;3807;7331.000000;0.000000
Williams/pdb1HYS.mtx;0.084000 s;2413;21064.000000;0.000041
Williams/cant.mtx;0.280000 s;5489;5595.000000;0.000008
Brunetiere/thermal.mtx;0.006000 s;308;308.000000;0.000000
